A,B
1.873922004988613,-1.5246176549722898
4.628208922347063,-1.5151550067098782
4.508470307465218,-2.262301443789763
6.241875699085588,-1.7707599862673085
3.6697716226555106,-2.0597377197422673
3.6088676122818897,-2.0611233849808914
2.7995426991180685,-2.290763377642879
4.71275392362309,-2.2045125210660843
3.087755790295614,-2.1315828884352377
1.3175348263498243,-1.7730641929043678
3.060340671292943,-2.0183899792899753
3.561553536505663,-2.2375956251153832
4.3687101852967265,-2.0471669173628873
4.980294083593806,-1.86316909051276
3.3550099431522264,-1.6407294994833412
3.649986617676001,-1.6132084037667698
4.575495294729578,-1.526557274202259
4.766498707601801,-2.447218315413953
2.3948985728506704,-1.3549616273853315
4.631352453810678,-1.688159838482004
4.182966382166475,-2.0115094230502266
3.9080085007054812,-1.9985515560993263
4.410952345389498,-2.3465195691981733
5.173279188136191,-2.4384667201915224
2.3996179916691425,-1.6754626588810106
5.196314998039641,-1.9520759700877388
4.294773779025641,-2.284387540945583
4.607692041219729,-1.5844313846210536
5.187476740619115,-1.9338843284140799
4.3797285934221835,-1.713493887402972
3.796317203276548,-2.1228152553629456
4.595949703612628,-1.9794391733045082
3.732364853156939,-2.245542233122404
2.361573952065764,-1.902623335747195
2.6512152959576962,-2.091924726191792
3.6483306992311197,-1.9710915467266616
3.4413046436019936,-1.4542727250478498
4.805001031703536,-1.9751731255713283
5.425219497081312,-1.883235707359626
