Date,Store Number,City,Zip Code,County,Total Sales to Store (Dollars)
10/25/2016,4448,Urbandale,50322,POLK,$667.68
11/03/2016,4847,Leclaire,52753,Scott,$1893.42
12/26/2016,4984,Muscatine,52761,MUSCATINE,$2314.36
10/04/2016,5142,Cedar Rapids,52303,Linn,$2496.35
11/01/2016,2200,Sac City,50583,SAC,$2018.97
12/02/2016,4780,Britt,50423,HANCOCK,$2364.80
12/09/2016,4435,Council Bluffs,51501,POTTAWATTA,$219.68
11/28/2016,4820,Inwood,51240,LYON,$836.39
12/28/2016,4387,Spirit Lake,51360,DICKINSON,$787.55
11/09/2016,5309,Des Moines,50314,POLK,$382.82
10/19/2016,4269,Tipton,52772,CEDAR,$1493.93
12/05/2016,5145,Des Moines,50315,POLK,$2092.93
12/13/2016,4930,Boone,50036,BOONE,$726.50
11/28/2016,4644,Davenport,52803,SCOTT,$499.92
11/11/2016,4808,Council Bluffs,51501,POTTAWATTA,$1466.09
12/06/2016,4788,Cedar Rapids,52405,LINN,$3028.20
10/17/2016,2539,Iowa Falls,50126,HARDIN,$10171.21
10/19/2016,4819,Altoona,50009,POLK,$2155.17
12/06/2016,2545,Iowa City,52245,JOHNSON,$7403.19
12/13/2016,2605,Cedar Rapids,52402,LINN,$9507.08
11/30/2016,2623,Sioux City,51104,WOODBURY,$9967.20
10/31/2016,4051,Maquoketa,52060,JACKSON,$1567.80
10/31/2016,3803,Strawberry Point,52076,CLAYTON,$1574.31
11/11/2016,5017,Lansing,52151,ALLAMAKEE,$1706.16
10/12/2016,4298,Dysart,52224,TAMA,$1495.02
12/21/2016,4952,Davenport,52804,SCOTT,$1624.38
12/22/2016,4418,Walnut,51577,POTTAWATTA,$5.24
12/28/2016,5106,DeWitt,52742,CLINTON,$6077.89
11/08/2016,4840,Waterloo,50707,Black Hawk,$885.04
10/13/2016,4506,Tiffin,52340,JOHNSON,$1717.53
10/19/2016,5273,Pella,50219,MARION,$1011.00
11/01/2016,4106,Dubuque,52002,DUBUQUE,$758.50
11/01/2016,2844,Iowa City,52240,JOHNSON,$1504.92
11/21/2016,5121,Charles City,50616,FLOYD,$2044.28
11/21/2016,4607,Guttenberg,52052,CLAYTON,$609.38
11/07/2016,3784,Independence,50644,BUCHANAN,$3111.58
12/28/2016,4234,Spencer,51301,CLAY,$1025.82
10/06/2016,3656,Ankeny,50021,POLK,$780.74
12/23/2016,4301,Des Moines,50320,POLK,$457.80
10/12/2016,3773,Cedar Rapids,52401,LINN,$14855.44
11/29/2016,3495,Monticello,52310,JONES,$3003.85
12/29/2016,5058,Urbandale,50323,POLK,$734.81
11/15/2016,4637,Cedar Rapids,52404,LINN,$516.37
12/13/2016,3932,Mapleton,51034,MONONA,$2816.72
11/18/2016,4414,Neola,51559,POTTAWATTA,$986.25
10/20/2016,2587,Johnston,50131,POLK,$9106.54
11/16/2016,5105,North Liberty,52317,JOHNSON,$9765.23
11/15/2016,4023,Boone,50036,BOONE,$4955.40
11/22/2016,5174,Waterloo,50701,BLACK HAWK,$1125.79
12/20/2016,2661,Sheldon,51201,OBRIEN,$0.00
11/16/2016,4191,Pella,50219,MARION,$1734.58
12/27/2016,4450,Urbandale,50323,POLK,$690.24
12/20/2016,5174,Waterloo,50701,BLACK HAWK,$1145.59
11/28/2016,5173,Audubon,50025,AUDUBON,$1508.83
11/30/2016,5317,Toledo,52342,TAMA,$636.66
11/28/2016,4692,Keokuk,52632,LEE,$1084.80
11/21/2016,3889,Waverly,50677,BREMER,$2601.00
11/16/2016,4070,Belle Plaine,52208,BENTON,$2208.67
10/20/2016,2544,Marshalltown,50158,MARSHALL,$16075.99
12/29/2016,2190,Des Moines,50314,POLK,$9440.74
10/17/2016,2554,Davenport,52802,SCOTT,$3348.46
10/18/2016,2590,Cedar Rapids,52402,LINN,$20015.00
12/22/2016,4694,Davenport,52806,SCOTT,$1357.64
12/01/2016,4694,Davenport,52806,SCOTT,$3465.54
12/16/2016,4745,Cedar Rapids,52404,LINN,$0.00
12/07/2016,2559,Albia,52531,MONROE,$1634.36
12/09/2016,2178,Waukon,52172,ALLAMAKEE,$5397.18
11/28/2016,4949,Davenport,52802,SCOTT,$896.11
12/26/2016,3910,Riverside,52327,WASHINGTON,$2481.24
10/05/2016,5009,Coralville,52241,JOHNSON,$720.12
10/11/2016,4853,Johnston,50131,POLK,$434.36
11/04/2016,3728,Council Bluffs,51503,POTTAWATTA,$5285.78
12/30/2016,2445,Oakland,51560,POTTAWATTA,$1608.97
11/03/2016,4810,Ankeny,50021,POLK,$730.05
12/30/2016,4385,New Virginia,50210,WARREN,$232.02
10/19/2016,3949,Pella,50219,MARION,$2867.51
10/27/2016,4410,Perry,50220,Boone,$688.23
10/13/2016,4209,Grimes,50111,POLK,$9300.95
10/17/2016,2627,Des Moines,50310,POLK,$4643.97
11/28/2016,4182,Dyersville,52040,DUBUQUE,$2456.81
11/29/2016,4496,Cedar Rapids,52402,LINN,$767.65
10/06/2016,4773,West Des Moines,50265,POLK,$566.88
11/07/2016,3778,Des Moines,50310,POLK,$2302.84
12/16/2016,4186,Des Moines,50321,POLK,$1032.47
12/23/2016,5119,Corwith,50430,HANCOCK,$1960.21
10/07/2016,4947,Cedar Falls,50647,Black Hawk,$3456.14
11/23/2016,5307,Johnston,50131,POLK,$683.01
10/11/2016,4511,Des Moines,50317,POLK,$1793.70
10/03/2016,3465,Panora,50216,GUTHRIE,$1821.37
10/17/2016,4312,Council Bluffs,51501,POTTAWATTA,$12657.17
10/27/2016,4362,Polk City,50226,POLK,$2386.94
12/21/2016,3920,Clinton,52732,CLINTON,$1691.90
12/27/2016,4138,Indianola,50125,WARREN,$2353.36
12/12/2016,3811,Keokuk,52632,LEE,$4908.84
11/21/2016,4855,Strawberry Point,52076,CLAYTON,$812.28
10/06/2016,3420,Windsor Heights,50311,Polk,$12800.66
12/14/2016,5083,Sioux City,51104,WOODBURY,$978.92
11/28/2016,2532,Des Moines,50317,POLK,$1743.72
12/30/2016,4785,Avoca,51521,POTTAWATTA,$1606.43
12/26/2016,3712,Montezuma,50171,POWESHIEK,$1664.71
10/24/2016,4285,New Hampton,50659,CHICKASAW,$1149.88
11/03/2016,2633,Des Moines,50320,POLK,$31294.03
10/25/2016,5211,Johnston,50131,POLK,$180.30
12/27/2016,4021,Fairfield,52556,JEFFERSON,$4474.74
10/10/2016,3907,Muscatine,52761,MUSCATINE,$1666.45
11/11/2016,4741,Council Bluffs,51503,POTTAWATTA,$1566.39
11/17/2016,4748,Davenport,52807,SCOTT,$3636.39
11/28/2016,5072,Mount Pleasant,52641,HENRY,$1280.24
11/28/2016,3805,Davenport,52084,Scott,$4786.47
11/10/2016,4427,North Liberty,52317,JOHNSON,$496.64
11/23/2016,4662,Cedar Rapids,52405,LINN,$821.75
11/18/2016,5276,Stanton,51573,MONTGOMERY,$743.01
10/17/2016,4967,Blue Grass,52726,SCOTT,$1057.53
10/25/2016,4728,Iowa City,52240,JOHNSON,$3061.44
12/21/2016,4841,Davenport,52804,SCOTT,$816.18
12/26/2016,4279,Keota,52248,KEOKUK,$297.99
10/26/2016,2501,Ames,50010,STORY,$16579.83
12/09/2016,2327,Corning,50841,ADAMS,$605.87
11/29/2016,3831,Madrid,50156,BOONE,$1667.15
10/06/2016,9901,Swisher,52338,Polk,$1073.70
10/20/2016,4373,West Des Moines,50266,POLK,$1090.03
10/28/2016,3842,Bancroft,50517,KOSSUTH,$5162.60
11/07/2016,2601,Fairfield,52556,JEFFERSON,$7105.21
11/08/2016,4456,Iowa City,52246,JOHNSON,$322.19
12/01/2016,2611,Ottumwa,52501,WAPELLO,$65.52
12/09/2016,5259,Glenwood,51534,MILLS,$919.85
10/17/2016,3563,Muscatine,52761,MUSCATINE,$5238.65
11/01/2016,4677,Coralville,52241,JOHNSON,$45792.78
11/30/2016,5284,Brooklyn,52211,POWESHIEK,$1836.96
12/13/2016,3980,Iowa City,52246,JOHNSON,$12768.18
10/04/2016,2478,Altoona,50009,POLK,$2225.25
12/06/2016,5043,Waterloo,50702,BLACK HAWK,$1881.84
12/15/2016,3731,Davenport,52807,SCOTT,$10561.02
12/14/2016,4195,Toledo,52342,TAMA,$2428.79
10/26/2016,4805,Fort Dodge,50501,WEBSTER,$1312.56
11/08/2016,2597,Cherokee,51012,CHEROKEE,$2277.85
11/10/2016,4405,Ankeny,50021,POLK,$601.98
11/11/2016,4459,Eagle Grove,50533,WRIGHT,$1087.86
10/20/2016,2595,Denison,51442,CRAWFORD,$11478.31
11/11/2016,4801,Des Moines,50311,POLK,$1688.10
10/19/2016,5257,Ottumwa,52501,WAPELLO,$8056.77
10/19/2016,4565,Sioux City,51106,WOODBURY,$1450.89
11/08/2016,5224,Coralville,52241,JOHNSON,$4718.83
12/27/2016,5338,Des Moines,50313,POLK,$464.73
12/01/2016,5115,Manly,50456,WORTH,$1221.91
12/23/2016,4165,Ankeny,50023,Polk,$504.23
10/27/2016,5280,Mason City,50401,CERRO GORD,$692.44
11/03/2016,4393,Clive,50325,POLK,$456.50
10/26/2016,4971,Pleasant Hill,50327,Polk,$4707.88
10/26/2016,2536,Pleasant Hill,50317,Polk,$5918.97
10/27/2016,3719,Marshalltown,50158,MARSHALL,$5134.08
12/22/2016,5115,Manly,50456,WORTH,$856.57
11/30/2016,5328,Van Horne,52346,BENTON,$908.77
12/28/2016,5065,Sioux City,51106,WOODBURY,$786.76
11/29/2016,2619,West Des Moines,50266,POLK,$17255.51
11/04/2016,4907,Cedar Falls,50613,BLACK HAWK,$1833.44
11/02/2016,3622,Spirit Lake,51360,DICKINSON,$12891.03
11/02/2016,2475,West Bend,50597,Kossuth,$1169.26
10/17/2016,3782,Guttenberg,52052,CLAYTON,$880.36
12/07/2016,2512,Iowa City,52240,JOHNSON,$2707.51
12/23/2016,4370,Norwalk,50211,WARREN,$1703.21
10/17/2016,4180,Marion,52302,LINN,$3762.28
11/08/2016,4118,Lake View,51450,SAC,$1640.58
10/12/2016,4438,Ames,50010,STORY,$1141.87
12/19/2016,4749,Davenport,52804,SCOTT,$1758.69
12/08/2016,3995,Cedar Falls,50613,BLACK HAWK,$6183.94
10/12/2016,2621,Sioux City,51105,WOODBURY,$12267.22
11/11/2016,2672,Winterset,50273,MADISON,$4305.09
12/28/2016,3390,Milford,51351,DICKINSON,$8872.69
12/27/2016,4171,Cascade,52033,DUBUQUE,$3143.46
10/17/2016,4562,Mechanicsville,52306,CEDAR,$1266.42
10/19/2016,4356,Nevada,50201,STORY,$834.43
10/28/2016,3857,Waukon,52172,ALLAMAKEE,$6711.79
10/18/2016,2624,Dubuque,52002,DUBUQUE,$11205.60
12/05/2016,2578,Charles City,50616,FLOYD,$9908.15
10/18/2016,3625,Ankeny,50021,POLK,$9226.19
11/08/2016,4900,Waterloo,50703,BLACK HAWK,$1806.21
10/13/2016,5011,Williamsburg,52361,IOWA,$481.59
10/27/2016,4734,Urbandale,50322,POLK,$2036.28
10/13/2016,3540,Davenport,52807,SCOTT,$2005.91
11/17/2016,4447,Urbandale,50322,POLK,$942.38
10/03/2016,4193,Hartley,51346,OBRIEN,$2056.50
11/22/2016,2665,Waukee,50263,DALLAS,$20375.43
10/26/2016,4311,Fort Dodge,50501,WEBSTER,$2507.04
12/19/2016,4859,Burlington,52601,DES MOINES,$2514.96
10/31/2016,4897,Burlington,52601,DES MOINES,$2321.31
12/20/2016,2665,Waukee,50263,DALLAS,$23440.15
12/29/2016,4733,Urbandale,50322,POLK,$2298.12
11/23/2016,2460,Hampton,50441,FRANKLIN,$4622.05
12/26/2016,3461,Stuart,50250,Adair,$5991.19
10/18/2016,3691,Urbandale,50322,POLK,$6569.04
10/12/2016,5237,Fort Dodge,50501,Iowa,$2247.77
12/20/2016,2627,Des Moines,50310,POLK,$3457.93
12/27/2016,9010,Norwalk,50211,WARREN,$936.72
10/27/2016,4388,Clive,50325,POLK,$232.64
12/12/2016,4021,Fairfield,52556,JEFFERSON,$6063.18
11/15/2016,4482,Indianola,50125,WARREN,$1321.85
11/15/2016,4446,Urbandale,50322,POLK,$919.59
12/19/2016,2506,Burlington,52601,DES MOINES,$22148.08
11/15/2016,3849,Dyersville,52040,DUBUQUE,$1675.48
11/09/2016,3928,North Liberty,52317,JOHNSON,$1598.96
12/13/2016,2509,Cedar Rapids,52404,LINN,$5015.83
10/17/2016,4970,West Liberty,52776,MUSCATINE,$819.96
10/06/2016,4392,Clive,50325,POLK,$761.82
10/12/2016,5207,Cedar Rapids,52404,LINN,$3119.41
10/24/2016,4125,Wapello,52653,LOUISA,$617.18
12/22/2016,3562,West Burlington,52655,DES MOINES,$215.88
11/14/2016,3740,Waterloo,50702,BLACK HAWK,$6979.85
11/10/2016,4941,Urbandale,50322,POLK,$500.69
10/13/2016,4725,Ankeny,50023,Polk,$836.11
10/06/2016,2630,West Des Moines,50266,POLK,$3514.72
11/14/2016,5198,Davenport,52803,SCOTT,$3509.22
10/13/2016,3624,Newton,50208,JASPER,$2386.79
10/14/2016,4156,Oelwein,50662,FAYETTE,$2188.64
10/11/2016,2620,Windsor Heights,50311,Polk,$553.25
10/27/2016,2528,Des Moines,50315,POLK,$6567.76
11/03/2016,2593,Carroll,51401,CARROLL,$10741.76
10/17/2016,2661,Sheldon,51201,OBRIEN,$4749.29
10/05/2016,3845,Otho,50569,WEBSTER,$721.08
11/11/2016,5007,Denver,50622,BREMER,$2270.91
10/10/2016,4296,Keosauqua,52565,VAN BUREN,$1096.51
12/01/2016,2620,Windsor Heights,50311,Polk,$2158.15
10/17/2016,4829,Des Moines,50314,POLK,$20515.83
11/02/2016,4069,Ottumwa,52501,WAPELLO,$1301.27
10/06/2016,4404,Ankeny,50021,POLK,$787.88
11/11/2016,4284,Iowa Falls,50126,HARDIN,$1038.30
11/15/2016,2597,Cherokee,51012,CHEROKEE,$3024.59
11/07/2016,4806,West Liberty,52776,MUSCATINE,$2165.22
12/13/2016,2663,Urbandale,50322,POLK,$17494.76
10/25/2016,2552,Cedar Rapids,52404,LINN,$12762.65
11/02/2016,9906,Des Moines,50317,POLK,$119.52
11/15/2016,4456,Iowa City,52246,JOHNSON,$411.23
12/07/2016,4888,Sergeant Bluff,51054,WOODBURY,$310.89
11/30/2016,4046,Centerville,52544,APPANOOSE,$1193.35
11/10/2016,4609,Ankeny,50023,Polk,$1312.50
